2024-10-18 13:25:53 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$452/0x00000008003e1c40
2024-10-18 13:25:53 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$453/0x00000008003e1040
2024-10-18 13:25:53 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
2024-10-18 13:25:53 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
2024-10-18 13:25:53 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2024-10-18 13:25:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2024-10-18 13:25:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2024-10-18 13:25:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-10-18 13:25:55 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
2024-10-18 13:25:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$467/0x0000000800425c40
2024-10-18 13:25:55 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Fail to connect server, after trying 1 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2024-10-18 13:25:55 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Fail to connect server, after trying 2 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2024-10-18 13:25:55 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Fail to connect server, after trying 3 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2024-10-18 13:25:55 |INFO  |main |PropertySourceBootstrapConfiguration.java:109 |org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration |Located property source: [BootstrapPropertySource {name='bootstrapProperties-user-service.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-user-service,DEFAULT_GROUP'}]
2024-10-18 13:25:55 |INFO  |main |SpringApplication.java:631 |com.bilibili.user.UserApplication |No active profile set, falling back to 1 default profile: "default"
2024-10-18 13:25:56 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Fail to connect server, after trying 4 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2024-10-18 13:25:56 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=ae199a16-3592-3b77-a1ae-8818625aa1ea
2024-10-18 13:25:56 |INFO  |main |PostProcessorRegistrationDelegate.java:376 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-10-18 13:25:56 |INFO  |main |PostProcessorRegistrationDelegate.java:376 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-10-18 13:25:56 |INFO  |main |PostProcessorRegistrationDelegate.java:376 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-10-18 13:25:56 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 3000 (http)
2024-10-18 13:25:56 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-3000"]
2024-10-18 13:25:56 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-10-18 13:25:56 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.75]
2024-10-18 13:25:56 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-10-18 13:25:56 |INFO  |main |ServletWebServerApplicationContext.java:292 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 880 ms
2024-10-18 13:25:56 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc3d7d2e-267a-4783-ab7c-63bf0fbdefd3_config-0] Fail to connect server, after trying 5 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2024-10-18 13:25:56 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Stopping service [Tomcat]
2024-10-18 13:25:56 |INFO  |main |ConditionEvaluationReportLoggingListener.java:136 |org.springframework.boot.autoconfigure.logging.ConditionEvaluationReportLoggingListener |

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2024-10-18 13:32:34 |INFO  |background-preinit |Version.java:21 |org.hibernate.validator.internal.util.Version |HV000001: Hibernate Validator 6.2.5.Final
2024-10-18 13:32:35 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0
2024-10-18 13:32:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
2024-10-18 13:32:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 6 ms to scan 1 urls, producing 4 keys and 9 values 
2024-10-18 13:32:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 4 ms to scan 1 urls, producing 3 keys and 10 values 
2024-10-18 13:32:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 6 ms to scan 1 urls, producing 1 keys and 5 values 
2024-10-18 13:32:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 6 ms to scan 1 urls, producing 1 keys and 7 values 
2024-10-18 13:32:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 6 ms to scan 1 urls, producing 2 keys and 8 values 
2024-10-18 13:32:35 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
2024-10-18 13:32:35 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$453/0x00000008003e1040
2024-10-18 13:32:35 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$454/0x00000008003e1440
2024-10-18 13:32:35 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
2024-10-18 13:32:35 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
2024-10-18 13:32:35 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2024-10-18 13:32:38 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2024-10-18 13:32:38 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2024-10-18 13:32:38 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
2024-10-18 13:32:38 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-10-18 13:32:38 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$468/0x0000000800425840
2024-10-18 13:32:38 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Fail to connect server, after trying 1 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2024-10-18 13:32:38 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Fail to connect server, after trying 2 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2024-10-18 13:32:38 |INFO  |main |PropertySourceBootstrapConfiguration.java:109 |org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration |Located property source: [BootstrapPropertySource {name='bootstrapProperties-user-service.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-user-service,DEFAULT_GROUP'}]
2024-10-18 13:32:38 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Fail to connect server, after trying 3 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2024-10-18 13:32:38 |INFO  |main |SpringApplication.java:631 |com.bilibili.user.UserApplication |No active profile set, falling back to 1 default profile: "default"
2024-10-18 13:32:39 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[ce0fc86f-7ece-48a6-9477-fbd7622c0c81_config-0] Fail to connect server, after trying 4 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2024-10-18 13:32:39 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=d160b210-df46-38ac-a108-839febaf3ff6
2024-10-18 13:32:39 |INFO  |main |PostProcessorRegistrationDelegate.java:376 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-10-18 13:32:39 |INFO  |main |PostProcessorRegistrationDelegate.java:376 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-10-18 13:32:39 |INFO  |main |PostProcessorRegistrationDelegate.java:376 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-10-18 13:32:39 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 3000 (http)
2024-10-18 13:32:39 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-3000"]
2024-10-18 13:32:39 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-10-18 13:32:39 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.75]
